dmpfc,pgacc,tpjleft,tpjright,vmpfc,Amy_Ce,Amy_B
-6.950187577,-0.362785778,-0.35439007,-0.942713275,-2.349291635,-5.915711869,4.734870584
-6.97945007,-13.58832629,12.8987329,24.58400779,5.879667436,-1.531314414,3.82468819
18.69709316,10.13632331,-0.270344885,-6.923841804,-7.893957424,7.538251927,8.958029739
20.86981174,6.241683954,15.9761851,34.96423122,67.54434329,-0.19004855,5.196267023
-8.907030461,-25.22507963,-12.12168865,-7.0634934,-19.25432522,7.326498,-9.616640441
-7.446009274,-31.28570566,-1.45414058,12.51167308,-1.307136835,-18.97893538,3.62978204
-19.76085899,-5.75459302,-14.79201947,-6.50514345,6.805216958,5.80979977,-0.992780629
22.86911069,3.887330807,23.85159935,40.3733002,31.78419025,4.938742878,5.861020924
-8.034097014,-8.261251586,-0.22564161,10.82832108,3.876120405,1.973386006,9.699294141
-5.374190242,-7.353661559,-3.599221965,-4.754824612,6.957616745,2.207148647,-4.039871514
-10.99996587,-3.546670424,3.982193961,6.364454309,2.137840626,-2.150712772,-2.098706073
5.606289522,-1.20464981,14.34939759,7.121906415,-5.785129341,-1.525242415,-4.397095324
-15.29994537,-7.406613237,-7.496091248,-2.836773892,1.645639305,7.197191264,3.762879193
-4.892273285,-3.913066344,-1.409921545,2.466452382,-19.88647283,9.549907757,5.514677752
-33.15224985,-5.410733093,1.965847455,5.04183852,-1.985588707,-18.39052264,-17.18031793
-23.49809948,-14.06316313,-22.82879752,-13.2243926,-13.74901107,-15.86853943,-9.941564147
31.206352,15.95085224,9.13079456,4.796336075,23.26277285,22.56105945,21.48817249
-4.590580437,9.688972693,3.960736528,-4.193901988,25.29820847,19.70399965,4.959610051
4.549964494,-0.195297214,-4.074148384,-0.552465219,-12.57876986,12.01153771,1.996753115
-12.93812614,-9.832693344,-2.359256834,-7.347219538,-24.18687477,-11.29732986,4.462084734
-19.39006985,-16.03387578,-16.2070857,7.448972191,-16.11445317,-15.58520273,-11.98442232
-16.72190453,-17.48964611,4.557987695,-3.507376494,-9.21125117,12.45729753,7.824265707
42.3554768,67.63133844,21.31078694,18.83094938,-8.28557365,55.19205135,58.97837314
-0.076467173,-3.282071928,12.52640166,19.50339602,11.40385163,8.938440895,28.04776372
-24.82051343,-4.001503316,-22.25653876,-0.81598667,-25.97427332,-6.670030531,-4.346815954
0.085257956,-1.486097354,17.31404003,-5.842957095,-5.553364992,0.164647017,0.654647652
-9.895037468,-5.163154132,2.648382805,10.64027562,10.40355746,2.803144523,7.736490482
19.24893094,8.366225986,10.90465327,9.461333317,8.475566795,18.28592053,13.40467338
31.37170635,5.597617557,5.433371309,39.50609874,15.87380473,6.635006707,11.47224826
-12.2520959,-25.98723876,-15.3286654,-11.47848223,-5.797740305,-7.571362775,-8.184523664
-6.822774841,-3.42802074,-11.18284871,3.043111845,-12.02359215,-9.233408394,-6.061282042
-22.65184932,-31.77327667,-1.572374076,10.56067151,-18.45106568,-15.46160483,-17.30292146
9.395129534,12.06052954,5.63429213,0.632469755,1.479563135,9.866303589,11.11381372
-7.630504525,7.631175567,6.436488187,4.37416623,-2.085492645,4.308250942,9.599006857
-1.889415475,17.80627761,20.80113037,36.47603571,19.0106144,6.930174386,-9.647209637
-5.885052995,-7.29673528,-21.95172735,-23.14444549,-31.10440176,-12.76474621,-18.43287465
-9.245611595,-6.921999986,-3.714240774,-13.04593691,-14.36173562,-1.401682319,-3.204540522
-11.27986216,-22.43916193,-7.765812862,-8.465589193,-38.27178283,-16.47491124,-33.82332578
-37.99250599,-33.06815667,-10.66032553,5.379235592,-4.134363796,-2.228957205,14.65235957
8.602460775,16.33276651,8.447558328,13.12992659,13.92105414,15.47264238,13.57580184
-45.65586137,13.15369836,13.23572946,4.109904885,6.701369305,14.78787959,15.22172253
-18.85542358,-9.005619963,-12.70098261,-3.073631261,12.24769464,-1.545046194,1.23937601
-6.477003886,-2.712762784,2.750854486,6.084717481,4.865069869,-6.114903589,12.75824186
-7.362612653,-10.24394111,1.049098745,2.195465202,2.26649795,4.151990777,-3.027140548
-46.87620891,-19.24446309,2.734815443,12.50650878,4.726654913,5.611189969,6.510418161
-9.33339017,-4.456677519,-8.466774949,-11.05841528,-8.890911826,-7.013761977,-6.487058435
-5.601838702,-0.483935676,-8.948224922,-4.940847915,-14.34874242,5.660432415,5.507916235
-18.83131504,3.092348976,-6.183930129,-5.040481943,-1.559850478,2.911829003,4.027273287
4.343468956,10.24376553,2.814372655,5.983646296,2.49040554,-0.500081857,18.46609645
-29.96674965,-15.29287573,-19.83262177,-11.68597517,-27.79141378,-5.151067011,1.122606373
15.66125354,-1.675437318,17.2835989,20.7545429,31.51450282,-1.87864394,-8.42308069
-15.62627241,0.942006665,-10.99059306,-9.735658422,-7.203838923,-9.556889968,4.325285373
-13.46795121,-4.517378622,0.68545036,-1.46844825,-0.979505675,-7.354114186,0.305492884
-6.47880268,0.221960663,8.223854135,11.03691219,11.37186137,1.245112872,-5.102235132
-16.32052691,5.945505357,8.923297789,-7.8253631,5.246197294,4.951200802,4.128581236
-35.47358058,-12.07979907,-13.24662612,11.34881916,-41.41675932,-41.51265882,-19.98940447
