DmPFC,lPFC,vStr
-17.614131,-15.648705,-3.533325
23.088672,32.07278,8.356413
11.397291,-11.42429,-22.976682
-22.858243,-14.54644,18.265592
23.89879,45.501292,50.439996
14.556819,2.943906,-39.376917
20.34187,9.595013,-0.600664
14.377577,28.544655,25.283495
9.771235,-5.69883,-32.930367
19.295517,12.822957,39.372213
-53.541083,-90.156234,27.984573
-22.400187,-7.370832,-17.436987
-3.822021,-7.500216,-1.556866
-37.242184,10.036421,-23.956873
2.466612,-13.304814,15.004733
-1.172952,14.040135,20.15547
34.812371,36.847195,44.896254
-2.930584,-43.138669,16.85391
-26.261606,-18.576264,-10.246086
43.708255,-24.952115,5.453024
-4.401604,35.82758,11.30664
-8.268435,-35.806311,-55.930865
2.43942,-0.906136,16.598005
43.785603,6.549723,-21.940606
-49.905474,2.999344,-15.737762
-17.937307,-18.73483,-24.291956
-12.604432,-17.377329,7.708245
51.930355,17.337285,30.930166
5.235447,5.963871,-8.453129
14.164783,30.759814,-5.040585
27.238567,53.943255,-20.726234
1.851552,2.197964,-19.557446
