S_cor,S_rt,P_cor,P_rt,G_cor,G_rt,S1_cor,S1_rt,P1_cor,P1_rt,G1_cor,G1_rt,S2_cor,S2_rt,P2_cor,P2_rt,G2_cor,G2_rt
0.79167,1.5856,0.79167,1.8164,0.75,1.186,0.8125,1.5549,0.8125,1.848,0.83333,1.1347,0.77083,1.6163,0.77083,1.7849,0.66667,1.2372
0.75,2.1086,0.63542,2.2904,0.8125,2.3559,0.8125,2.2977,0.625,2.2456,0.79167,2.5515,0.6875,1.9196,0.64583,2.3353,0.83333,2.1603
0.72917,2.2207,0.70833,2.0811,0.75,2.1004,0.77083,2.0382,0.75,1.9604,0.75,1.8906,0.6875,2.4031,0.66667,2.2018,0.75,2.3101
0.85417,1.4301,0.69792,1.8238,0.73958,1.6577,0.89583,1.71,0.77083,1.8786,0.75,1.4927,0.8125,1.1502,0.625,1.769,0.72917,1.8227
0.64583,2.4822,0.61458,1.9428,0.64583,1.9575,0.6875,2.7968,0.58333,2.1208,0.6875,1.9056,0.60417,2.1677,0.64583,1.7647,0.60417,2.0093
0.83333,1.6495,0.875,1.5998,0.80208,1.7072,0.89583,1.4686,0.83333,1.4636,0.6875,1.7879,0.77083,1.8304,0.91667,1.7361,0.91667,1.6266
0.71875,2.8844,0.625,2.8331,0.69792,2.8734,0.77083,2.9014,0.64583,2.8065,0.77083,2.8473,0.66667,2.8673,0.60417,2.8598,0.625,2.8994
0.72917,1.2682,0.72917,1.2784,0.75,1.3238,0.8125,1.2883,0.79167,1.2322,0.72917,1.3564,0.64583,1.2481,0.66667,1.3245,0.77083,1.2912
0.89583,3.1581,0.86458,3.5936,0.91667,3.1528,0.95833,3.1079,0.83333,3.5989,0.9375,3.4174,0.83333,3.2082,0.89583,3.5883,0.89583,2.8883
0.8125,1.0183,0.69792,1.2259,0.73958,0.96908,0.875,0.95792,0.6875,1.2467,0.79167,1.1335,0.75,1.0786,0.70833,1.2052,0.6875,0.80468
0.76042,1.809,0.80208,2.1133,0.78125,2.1122,0.75,1.7497,0.8125,2.0922,0.8125,2.1786,0.77083,1.8684,0.79167,2.1344,0.75,2.0458
0.65625,1.9858,0.63542,1.995,0.71875,2.6547,0.625,2.0905,0.64583,2.0628,0.72917,3.254,0.6875,1.8811,0.625,1.9272,0.70833,2.0554
0.6875,1.7689,0.6875,1.9511,0.71875,1.8164,0.75,1.9087,0.75,1.88,0.625,1.9335,0.625,1.6291,0.625,2.0223,0.8125,1.6994
0.63542,1.2501,0.64583,1.3195,0.66667,1.1277,0.72917,1.4309,0.66667,1.4859,0.625,1.4164,0.54167,1.0693,0.625,1.1532,0.70833,0.83905
0.75,3.0871,0.72917,3.1998,0.73958,2.8286,0.79167,2.9054,0.72917,3.2643,0.79167,2.755,0.70833,3.2688,0.72917,3.1352,0.6875,2.9023
0.63542,2.4453,0.77083,2.3538,0.69792,1.908,0.58333,2.3064,0.83333,2.325,0.6875,1.8453,0.6875,2.5841,0.70833,2.3827,0.70833,1.9707
0.5625,1.3361,0.76042,1.4225,0.625,1.3588,0.54167,1.3826,0.75,1.4173,0.54167,1.3053,0.58333,1.2896,0.77083,1.4277,0.70833,1.4122
0.8125,1.3123,0.8125,1.6386,0.83333,1.4492,0.75,1.3951,0.83333,1.6019,0.8125,1.5875,0.875,1.2295,0.79167,1.6752,0.85417,1.311
0.8125,1.7861,0.79167,1.8758,0.8125,1.6716,0.83333,1.88,0.8125,1.9674,0.72917,1.9012,0.79167,1.6923,0.77083,1.7842,0.89583,1.4421
0.82292,2.0283,0.73958,2.2067,0.73958,2.4095,0.83333,2.0186,0.66667,2.1456,0.72917,2.3576,0.8125,2.038,0.8125,2.2677,0.75,2.4614
0.52083,2.446,0.54167,1.9716,0.61458,2.4042,0.5625,2.9744,0.5625,2.0757,0.60417,2.8198,0.47917,1.9176,0.52083,1.8675,0.625,1.9886
0.64583,2.3125,0.625,2.972,0.67708,2.5425,0.64583,2.4871,0.625,3.1158,0.66667,2.7064,0.64583,2.1379,0.625,2.8283,0.6875,2.3785
0.8125,2.4656,0.84375,2.7962,0.8125,2.9859,0.72917,2.8267,0.8125,3.04,0.83333,2.8057,0.89583,2.1044,0.875,2.5524,0.79167,3.1661
0.70833,2.3526,0.69792,2.5232,0.85417,2.1604,0.79167,2.3058,0.70833,2.504,0.85417,2.1138,0.625,2.3993,0.6875,2.5424,0.85417,2.207
0.89583,2.149,0.89583,2.4155,0.88542,2.4376,0.9375,1.9851,0.9375,2.3842,0.9375,2.7556,0.85417,2.313,0.85417,2.4468,0.83333,2.1197
0.70833,1.7677,0.65625,2.2737,0.72917,1.4385,0.70833,1.517,0.54167,1.9392,0.77083,1.447,0.70833,2.0183,0.77083,2.6082,0.6875,1.4299
0.79167,3.564,0.83333,3.8566,0.82292,3.9172,0.85417,3.3419,0.83333,3.5672,0.85417,3.8042,0.72917,3.7862,0.83333,4.146,0.79167,4.0302
0.80208,2.2545,0.63542,2.3542,0.70833,1.9963,0.83333,2.1157,0.72917,2.1719,0.70833,1.9127,0.77083,2.3933,0.54167,2.5365,0.70833,2.0798
0.83333,2.0136,0.72917,1.9855,0.76042,2.2349,0.875,1.9899,0.75,1.8856,0.75,2.3225,0.79167,2.0374,0.70833,2.0854,0.77083,2.1472
0.625,1.6086,0.67708,1.5185,0.75,1.2035,0.60417,1.4275,0.77083,1.5712,0.72917,0.97825,0.64583,1.7897,0.58333,1.4659,0.77083,1.4287
0.69792,2.1373,0.52083,2.2703,0.65625,1.727,0.75,2.1033,0.58333,2.1922,0.6875,1.9109,0.64583,2.1714,0.45833,2.3485,0.625,1.5431
0.82292,2.0711,0.79167,2.3123,0.8125,2.3936,0.83333,1.9763,0.83333,2.261,0.8125,3.0094,0.8125,2.1659,0.75,2.3636,0.8125,1.7778
