Sglm-c,Sglm-S,Sglm-P,Sglm-Or,Sglm-Oi,Sglm-bonus,Pglm-c,Pglm-S,Pglm-P,Pglm-Or,Pglm-Oi,Pglm-bonus
0.25894,2.0609,0.70844,-1.1511,-0.022879,1.9206,-0.33461,0.25407,1.1961,-0.92895,-0.1015,1.4972
0.2109,1.573,0.4753,-0.70862,0.2853,0.34415,-0.29091,1.0435,1.3266,-0.11404,0.010008,1.0332
-1.0376,0.98196,0.012808,-0.60047,0.22146,1.0254,-0.16897,0.27493,0.23859,-0.97506,-0.38524,1.0167
0.53518,2.932,-0.59763,-2.2038,-1.1624,0.97174,-0.87282,0.88961,1.3933,-0.083561,-0.1031,0.91116
0.0053194,0.24721,0.42646,-0.75488,-0.073706,2.0731,0.33366,0.93612,0.42409,0.22144,-0.65312,2.9286
-0.21491,1.4054,-0.1283,-1.0174,-0.033291,0.94206,-0.74443,0.11321,1.1631,-1.3332,0.10429,0.90191
-1.565,1.8111,0.11672,-0.34645,0.27137,0.58905,-2.7625,0.126,1.4848,-0.35566,-0.86043,0.67
0.12924,0.91391,0.12009,-0.97417,-0.37025,0.20614,-0.97706,0.17102,0.84851,-1.2308,-0.60591,0.787
0.34149,1.7394,-0.024759,-1.8166,0.044793,0.90653,0.12066,-0.10464,1.3277,-1.6887,-0.38988,0.79711
-0.81014,1.4506,0.36534,-0.80999,-0.090265,0.59962,-0.22068,1.075,0.95086,-0.9976,-0.0091519,0.65219
-0.34325,1.4641,0.052617,-1.1146,-0.3424,1.0107,-1.7183,1.3303,2.5755,-1.9488,-0.64055,1.6037
0.46928,0.51247,0.5399,-0.48776,0.16805,0.26517,0.46683,0.50074,0.671,-0.65412,-0.7127,0.27163
-0.76998,0.8104,-0.090034,-0.6188,0.24007,0.36846,-1.5885,-0.22462,1.2003,-0.6989,-0.18611,0.78008
-1.1797,1.0511,-0.031191,-0.52144,0.16709,1.9619,0.64924,0.24714,0.20795,-0.52226,-0.17193,1.9416
0.31695,1.0605,-0.18303,-0.72599,-0.16424,0.47677,-0.18847,0.58773,1.3367,-0.39045,0.17571,0.64265
-0.39781,0.44859,0.3959,-0.30779,-0.056282,0.84287,-0.31842,-0.13399,0.94531,-0.58444,-0.081564,1.2944
0.61488,0.70152,0.18775,-0.12359,-0.24053,1.4763,0.20083,-0.34159,0.51985,-0.92918,-0.58896,1.838
1.0198,1.6092,0.152,-1.65,-0.33587,0.64375,0.28049,0.7367,0.66768,-1.1335,0.1004,1.201
-0.15988,0.74965,0.38533,-1.5752,-0.21803,0.85242,0.63211,0.12704,1.7603,-1.1801,-0.68214,0.65904
-0.22597,1.0172,-0.49858,-1.9357,-0.25841,1.1806,0.38922,0.13781,0.88046,-0.84706,-0.17922,0.53843
-1.9529,-0.24186,0.49972,0.12904,-0.043284,2.1276,-1.2336,0.16777,0.064941,-0.071438,-0.17893,1.9457
-0.24401,0.75869,-0.0053486,0.10346,-0.60325,1.0637,-0.48263,-0.22905,0.5425,-0.28396,0.20414,1.1041
0.17102,1.2561,0.4107,-1.5075,-0.96425,0.8645,0.17324,0.73176,1.3115,-1.8871,-0.60659,1.4041
-0.17122,1.0071,0.11534,-0.54299,-0.18498,0.73497,-1.2483,0.47245,0.92438,-0.69687,0.48984,0.82596
0.45299,1.8342,0.14599,-1.9911,-0.52407,0.92159,0.39415,0.076091,1.9945,-2.0818,-0.56897,0.95001
0.33908,1.5601,0.45828,-0.50759,-1.0054,2.5381,0.36865,0.10597,0.13082,-0.16517,-0.26093,1.2863
-0.15197,2.2412,0.10394,-0.89269,-0.49493,1.2439,-0.39606,-0.028826,1.5478,-1.9298,-0.007917,0.45711
0.38685,1.8309,0.19781,-1.8866,-0.65718,1.433,-0.16273,0.040498,0.56336,-0.48826,-0.19233,1.1123
0.27114,0.48073,-0.41826,-1.0858,-0.02639,0.48312,0.69174,0.1525,0.83908,-1.0376,-0.3606,1.0991
1.1717,0.44813,0.21137,-0.9455,-0.5816,0.13989,0.53438,0.59198,0.80572,-1.1025,-0.34217,0.58945
