Sglm1-c,Sglm1-S,Sglm1-P,Sglm1-Or,Sglm1-Oi,Sglm1-bonus,Sglm2-c,Sglm2-S,Sglm2-P,Sglm2-Or,Sglm2-Oi,Sglm2-bonus,Pglm1-c,Pglm1-S,Pglm1-P,Pglm1-Or,Pglm1-Oi,Pglm1-bonus,Pglm2-c,Pglm2-S,Pglm2-P,Pglm2-Or,Pglm2-Oi,Pglm2-bonus,Gglm1-c,Gglm1-S,Gglm1-P,Gglm1-O1,Gglm1-O2,Gglm1-bonus,Gglm2-c,Gglm2-S,Gglm2-P,Gglm2-O1,Gglm2-O2,Gglm2-bonus
0.42896,0.87262,0.13562,-0.91701,0.45156,0.75117,-0.18631,1.3375,0.70803,-0.26225,-0.33139,1.0324,-0.11429,0.12569,0.97706,-0.61505,-0.181,0.8814,-0.40771,0.23492,0.49403,-0.62856,-0.02622,1.1668,-0.49923,0.94092,0.70815,-0.15574,-0.54204,1.7306,-0.72942,0.47526,0.75124,-0.26584,-0.2874,1.9467
0.48958,1.4972,0.23197,-0.55173,0.77092,0.60171,-0.047944,1.0017,0.32489,-0.42413,-0.31411,-0.043976,0.0026539,0.58137,1.0002,-0.046925,-0.33303,0.72016,-0.5855,1.098,0.75509,-0.17018,0.34566,0.59449,0.14784,1.4699,0.89033,-0.18459,-0.32428,1.0555,0.50022,0.68504,0.45843,-0.51787,-0.66535,0.99488
-0.84082,0.63214,-0.011432,-0.51434,0.0015604,0.80435,-0.85871,0.73504,-0.067094,-0.35333,0.41626,0.73139,0.16323,0.45863,0.14755,-0.95167,-0.59763,0.71751,-0.47923,-0.073498,0.3319,-0.40899,0.18117,0.95619,-0.82193,0.34877,1.1067,-0.50333,-0.31143,1.2111,-0.70739,0.24598,0.87919,-0.63184,-0.68881,0.42477
0.21994,1.1309,0.17081,-0.98308,-0.58025,0.86716,0.69419,1.457,-0.233,-1.0309,-0.41893,-0.087151,-0.94435,0.39634,1.0175,-0.42999,-0.098344,0.8357,-0.56737,0.8546,0.87855,0.19656,-0.020204,0.47833,0.024169,1.207,0.27244,-0.41075,-0.46239,0.87456,-0.66756,0.44495,0.6322,-0.34194,-0.34678,1.2593
0.6728,0.4513,0.17609,-0.29687,0.27861,1.8243,-0.4788,-0.098305,0.31358,-0.34807,-0.22085,1.3639,0.28552,0.15167,0.29605,0.28895,-0.2485,1.9685,0.07998,0.65142,-0.12383,-0.2526,-0.15262,1.367,-0.25234,0.089208,0.073165,-0.32679,-0.072495,1.6747,-0.19937,0.027368,0.18487,0.070742,0.0090944,2.3732
-0.21672,1.189,-0.0031548,-0.88597,-0.14389,0.84333,-0.09485,0.66285,-0.055579,-0.58294,0.032815,0.4389,-0.63432,0.26768,0.75691,-0.66102,0.33483,0.55177,-0.50226,-0.014182,0.85632,-1.2388,-0.19409,0.74116,-0.051944,0.75232,0.49242,-0.088865,-0.94747,0.45309,0.064354,0.93967,0.9188,-0.69468,-1.1484,0.96832
-0.92007,1.0992,-0.12757,-0.38457,0.30436,0.57311,-1.5634,1.1492,0.045675,-0.27737,0.090004,0.020805,-2.238,0.11608,1.1437,-0.25241,-0.48039,0.25385,-2.1928,0.21165,0.62008,-0.30616,-0.64551,0.46314,-1.9876,1.4693,0.53826,-0.49913,-0.24118,0.98484,-0.65614,0.79494,0.623,0.24888,0.054303,1.4681
0.10305,0.92095,0.34175,-1.0858,-0.13782,0.016845,0.090293,0.44135,-0.025836,-0.43604,-0.40294,0.23344,-0.42199,0.10338,0.79774,-0.94638,-0.11922,0.26626,-1.2582,0.26392,0.41118,-0.7911,-0.41951,0.67224,-0.54075,0.44676,0.77675,-0.58764,-0.10797,0.4401,-0.052695,1.0233,0.24135,-1.3371,-0.33007,0.10785
0.2451,1.2942,-0.21115,-1.2169,0.075107,0.68594,0.23506,0.71284,0.17487,-0.87358,0.042771,0.51471,-0.19961,0.070465,0.77383,-0.86894,-0.11946,0.33275,0.33502,-0.2531,0.95893,-1.2844,-0.19954,0.69295,0.81757,0.6891,0.80624,-1.2859,-1.5686,0.75861,-0.49568,1.43,0.5489,-0.70944,-1.1002,1.3209
-0.055399,1.1521,0.52415,-0.82061,0.142,0.58465,-1.2687,0.78858,-0.030333,-0.57347,-0.39324,0.20802,-0.26783,1.0045,0.48197,-0.79322,0.014175,0.92119,-0.11654,0.63713,0.65373,-0.60309,0.045602,0.13125,-0.70582,0.91192,0.77079,-0.37869,-0.59077,0.97421,-1.4389,0.86821,0.91135,-0.25414,-0.52164,0.84555
