fast_Sglm-pcodexF,fast_Sglm-scodexF,fast_Sglm-bonus,fast_Pglm-pcodexF,fast_Pglm-scodexF,fast_Pglm-bonus,slow_Sglm-pcodexF,slow_Sglm-scodexF,slow_Sglm-bonus,slow_Pglm-pcodexF,slow_Pglm-scodexF,slow_Pglm-bonus
1.0291,0.99966,1.7098,0.86248,0.31615,1.4718,1.3207,0.95418,1.0056,1.1653,0.95176,1.0011
1.2368,0.32767,0.34377,1.736,-0.064476,1.0041,0.77657,1.2521,0.22684,0.39535,0.13301,0.59493
0.25709,0.90032,1.774,0.85304,0.26946,1.1506,0.40576,0.84398,0.24574,0.83363,0.31049,0.7383
1.9874,1.2432,0.11804,1.6264,0.021178,0.59393,1.3325,1.7101,0.97111,0.91781,0.32694,0.60571
0.31996,-0.09503,2.3278,0.64082,-0.14648,2.9225,0.58948,0.45724,1.2442,0.80082,-0.55763,1.6301
1.3515,0.74299,0.9664,1.438,1.5646,0.65633,0.79113,1.1722,0.69851,1.0576,0.71678,0.8714
1.2954,1.3816,0.10882,1.3523,0.38038,0.66824,0.22518,0.82737,0.23162,1.3556,0.25175,0.39621
1.2816,0.14308,0.11851,0.83394,0.34537,1.0267,0.78936,0.9227,0.18557,1.4439,0.78488,0.17631
1.5885,1.8974,1.4452,1.6708,0.76176,1.145,1.1065,1.1887,0.33117,0.97736,1.1969,0.41231
1.8328,-0.26892,1.099,1.9868,0.60689,1.3573,0.93835,1.4393,0.35632,0.90074,0.44268,0.15441
1.6738,0.89575,0.82019,2.1028,0.75491,1.2481,0.090351,1.422,0.83602,1.5361,1.0241,0.8744
1.1736,0.29371,0.59158,1.7685,0.25492,0.15122,0.012005,0.32999,0.10375,0.60809,-0.063014,0.17024
0.42472,1.0914,0.71271,0.86252,0.7872,0.57251,0.72531,0.58848,0.12364,0.83352,0.57578,0.56471
0.2819,0.18081,2.7749,0.2995,0.087099,2.6677,0.26165,0.56703,0.81403,0.38017,0.067254,1.2035
0.93182,0.63111,0.55479,1.4763,0.23722,0.74389,0.57031,0.95352,0.30979,0.54923,0.65554,0.41522
0.87117,-0.15869,1.1708,1.1499,0.72705,1.5914,0.54181,0.25347,0.56402,0.34712,0.55115,0.76667
0.29604,0.61404,1.3116,0.67741,-0.35205,1.519,0.74934,-0.18501,1.1868,0.57328,1.131,1.56
1.6202,0.28786,1.0598,0.7749,0.079932,1.1114,1.7649,1.9686,0.49177,1.3379,0.89294,1.0393
1.5125,0.65659,0.99614,1.9232,0.74936,1.1009,1.1234,0.87618,0.44574,1.304,1.2191,-0.013837
1.1874,1.9645,0.5012,1.4403,1.5212,0.73531,1.0109,1.0185,1.3922,0.62298,0.47484,0.3108
-0.51368,-0.33039,1.9946,0.10392,-0.36272,2.2859,0.39739,-0.43964,1.4115,0.078769,0.11547,1.0483
1.0302,-0.023998,1.347,0.1441,0.097365,1.9916,0.20548,0.057131,0.54004,0.20353,0.68565,0.52413
2.3352,0.59386,1.297,1.8893,0.85091,1.3901,0.79681,0.1274,0.17774,1.4634,0.97089,0.55057
1.3578,1.3169,1.3547,0.44282,0.18691,0.70176,0.54619,0.17549,0.28012,0.87764,0.77661,0.69175
1.4907,0.99833,0.77137,1.8149,0.77934,1.03,1.5859,1.501,0.53591,2.0777,1.6998,0.26534
1.6716,0.43691,2.2306,0.83952,-1.002,2.1379,0.58362,-0.025232,1.2597,0.16663,0.060113,0.93536
1.4584,1.1773,0.87885,1.3863,1.6556,1.0515,1.4809,0.63786,0.58616,1.3141,1.0386,-0.057232
1.9645,1.2484,1.5383,1.1636,0.39324,0.78141,1.1572,0.8597,0.65647,0.346,0.37372,0.98506
0.34375,1.0334,0.33276,0.87849,0.81185,0.93938,1.188,1.039,0.70965,1.1105,0.37593,0.96929
1.624,0.0933,-0.44275,1.4997,-0.48615,0.94833,0.70622,0.30502,0.18852,1.2826,0.92433,0.55049
-0.0072207,0.32914,0.30504,-0.35482,0.22462,0.36741,0.26106,1.1765,0.08286,0.0011654,0.43085,-0.26568
