c,p_flip,s_flip,S-TimePos,Pa-TimePos,p_flip==s_flip,abs-VD
0.25634,-0.018231,-0.076799,0.020103,-0.049271,0.046821,-0.22394
0.63701,0.041504,-0.063125,0.091604,0.067373,0.070843,-0.074078
0.65154,-0.02269,-0.031013,-0.011926,-0.0026735,-0.076002,-0.14095
0.18297,0.0010014,0.026749,-0.067006,0.14616,0.086805,-0.06538
0.4383,0.018271,0.054868,-0.026946,0.1153,0.014926,0.18141
0.31423,-0.07997,-0.053736,-0.0057553,0.064071,-0.011085,-0.10469
0.92745,-0.023895,-0.037212,-0.046217,-0.043614,-0.0021344,-0.040909
0.17722,-0.013527,-0.030677,-0.032072,-0.050665,0.066625,-0.055888
1.0482,0.010916,-0.010009,-0.050913,0.016146,0.011486,-0.06541
-0.10887,0.1334,-0.016308,-0.055549,0.0062719,-0.057217,-0.052607
0.61615,0.0040295,0.071309,-0.020701,-0.021207,-0.0049123,-0.029737
0.47122,0.11767,0.0033719,-0.03792,-0.057615,-0.052926,-0.065734
0.46129,-0.0015697,0.034899,-0.0093364,0.071853,0.078318,-0.061608
0.10205,-0.071451,0.07497,-0.029234,-0.060746,0.01356,-0.099097
0.97727,-0.042111,0.023582,-0.045873,0.032379,0.019089,-0.03092
0.79113,-0.083172,0.038825,0.016653,-0.01233,0.0059035,-0.057178
0.16683,-0.055103,0.037416,0.015714,-0.07904,-0.027583,-0.029641
0.21289,-0.0018536,0.035514,0.10439,0.0084679,-0.1079,-0.052916
0.50476,-0.0036734,-0.055229,-0.019721,-0.035798,0.05379,-0.065126
0.65269,-0.029602,0.0063778,-0.028542,-0.061097,0.013973,-0.053378
0.47108,0.19216,0.10114,-0.035721,-0.0611,0.0024596,0.21947
0.69671,0.040438,-0.054511,-0.093874,0.07154,-0.11733,-0.051887
0.71846,0.020009,0.015906,0.058916,-0.033392,-0.023737,-0.2556
0.75663,-0.026817,0.032671,-0.046056,-0.059759,0.047646,-0.036322
0.73417,0.0030738,0.052311,-0.079174,-0.017986,-0.029325,-0.029411
0.5489,0.037963,-0.0073517,-0.0069412,-0.067256,-0.0023559,-0.14476
1.2174,0.024058,0.022416,-0.044588,-0.028737,-0.043043,-0.14895
0.76316,-0.044527,-0.0012522,0.017038,-0.051328,-0.04426,-0.080595
0.55947,-0.022086,0.028621,0.00015798,-0.02626,0.02603,-0.072053
-0.35088,0.023434,0.083756,0.070388,-0.14839,-0.023258,-0.26407
0.41018,0.15348,0.049514,-0.092225,0.00036765,0.045759,0.12503
0.63608,-0.030335,-0.022366,-0.045905,-0.033765,-0.060574,-0.085088
0.79367,-0.038656,0.0076529,0.0002655,0.049651,-0.072176,-0.12056
0.37713,0.034969,-0.01484,0.055618,0.12055,-0.044998,-0.12879
0.13756,0.044349,-0.016573,0.072509,0.25005,-0.070372,-0.10369
0.31296,0.083889,0.037,0.019658,0.04297,-0.059538,0.019723
0.34558,-0.029189,0.0056351,-0.15773,-0.15993,-0.12298,-0.077662
0.68108,-0.03578,0.018731,0.072628,-0.025035,-0.083222,-0.012685
0.49766,-0.042732,-0.00042648,0.087254,0.011356,0.021688,-0.10531
1.2766,0.028129,0.033476,-0.05105,-0.13262,0.095615,-0.18421
0.57311,0.0020545,-0.035239,-0.037495,-0.029612,-0.039241,-0.16418
0.63549,0.0175,-0.061556,-0.0064499,-0.022441,-0.067252,-0.22176
0.75919,0.011257,0.028595,-0.0074303,-0.028922,-0.019899,0.033007
0.30446,0.014261,0.05567,-0.028521,0.0019385,-0.059713,-0.063475
0.90426,0.0051027,0.014366,0.043695,-0.059194,-0.026859,-0.10612
1.1111,0.062762,-0.034289,-0.021629,-0.011217,0.0037677,-0.12021
0.90355,-0.063407,0.058614,-0.081409,-0.027951,-0.020815,-0.11608
0.47738,-0.010472,0.030275,-0.010635,-0.053625,0.074129,-0.044082
0.45705,0.047583,0.013674,-0.06369,-0.15216,-0.014543,-0.02643
0.81909,0.012675,0.048565,0.0050846,-0.049268,-0.035628,-0.058571
1.0663,-0.032116,0.11596,-0.0222,-0.12345,-0.019435,-0.048448
0.75727,0.004087,-0.03651,0.033894,0.074195,0.0054209,-0.17575
0.47099,0.024641,0.014262,-0.091951,-0.060299,-0.016456,-0.19896
0.61203,-0.17342,-0.11261,0.042322,0.058042,-0.050026,-0.30154
0.50123,-0.058429,-0.010914,0.10072,0.14691,-0.0075304,-0.1285
0.2094,0.017593,0.0067144,-0.06763,-0.029728,-0.067551,-0.10763
